student_id,department,year,subject,marks,attendance,assignment_completion,study_hours,sleep_hours,stress_level,gpa,mood,is_weak_subject,burnout_risk
12,Civil Engineering,3,Operating Systems,77.31,76.8,72.23,6.95,6.2,92.22,3.09,stressed,0,0
12,Electronics,2,Mathematics,76.8,64.96,58.28,3.42,5.87,87.02,3.07,stressed,1,0
12,Electronics,4,Data Structures,88.87,100.0,88.91,4.8,6.08,87.08,3.55,stressed,0,0
12,Computer Science,1,Artificial Intelligence,100.0,80.19,73.15,2.45,6.53,77.08,4.0,anxious,0,0
12,Civil Engineering,1,Database Systems,100.0,94.39,100.0,2.47,6.38,85.56,4.0,happy,0,0
12,Civil Engineering,3,Computer Networks,100.0,67.88,52.69,2.8,6.02,55.6,4.0,okay,1,0
13,Civil Engineering,3,Artificial Intelligence,38.04,85.44,82.61,5.94,7.96,100.0,1.52,burnout,1,0
13,Civil Engineering,1,Operating Systems,76.96,78.02,69.48,3.44,6.68,88.33,3.08,burnout,0,0
13,Computer Science,2,Database Systems,57.32,78.7,73.59,4.56,6.77,66.75,2.29,stressed,1,0
13,Computer Science,2,Mathematics,48.51,79.17,73.84,4.6,7.38,100.0,1.94,stressed,1,0
13,Information Technology,3,Software Engineering,50.37,56.01,36.73,5.07,8.0,100.0,2.01,okay,1,0
14,Mechanical Engineering,3,Data Structures,63.7,81.74,85.35,4.14,7.42,91.79,2.55,happy,0,0
14,Information Technology,3,Database Systems,43.66,94.57,91.57,6.74,6.89,67.55,1.75,okay,1,0
14,Civil Engineering,4,Mathematics,73.72,53.62,36.42,0.0,6.9,65.48,2.95,burnout,1,0
14,Computer Science,2,Computer Networks,61.31,81.11,89.29,1.24,6.52,54.87,2.45,burnout,0,0
14,Electronics,2,Operating Systems,50.74,79.51,50.88,3.82,6.88,62.03,2.03,anxious,1,0
14,Electronics,3,Artificial Intelligence,52.67,65.9,54.17,1.88,7.02,73.87,2.11,happy,1,0
15,Mechanical Engineering,2,Operating Systems,53.25,71.61,50.11,3.62,6.61,46.14,2.13,okay,1,0
15,Information Technology,4,Data Structures,62.25,80.63,77.71,6.41,7.45,51.38,2.49,happy,0,0
15,Electronics,4,Software Engineering,40.77,88.69,74.35,1.54,7.6,73.05,1.63,okay,1,0
15,Computer Science,4,Artificial Intelligence,43.8,47.12,50.92,2.02,8.24,48.68,1.75,happy,1,0
15,Information Technology,2,Mathematics,53.41,81.19,88.31,0.0,7.3,37.41,2.14,anxious,1,0
16,Electronics,3,Database Systems,52.48,63.78,74.27,5.76,7.67,53.5,2.1,happy,1,0
16,Electronics,3,Operating Systems,80.52,67.08,75.6,5.08,6.83,34.8,3.22,burnout,1,0
16,Civil Engineering,3,Data Structures,55.74,59.26,62.59,7.82,7.21,38.62,2.23,happy,1,0
16,Electronics,2,Artificial Intelligence,50.35,72.69,59.5,2.27,6.51,54.7,2.01,burnout,1,0
16,Electronics,1,Software Engineering,82.33,79.25,68.93,2.18,7.31,38.86,3.29,happy,0,0
17,Civil Engineering,2,Computer Networks,94.39,100.0,99.33,2.48,5.03,71.8,3.78,stressed,0,0
17,Mechanical Engineering,1,Database Systems,66.18,38.89,30.41,3.39,5.93,70.66,2.65,burnout,1,0
17,Civil Engineering,2,Data Structures,79.32,84.02,100.0,0.78,5.33,80.48,3.17,stressed,0,0
17,Electronics,3,Software Engineering,69.36,91.4,93.33,5.54,6.75,77.72,2.77,happy,0,0
17,Electronics,3,Mathematics,66.62,64.51,59.76,4.18,6.32,90.66,2.66,anxious,1,0
17,Electronics,2,Artificial Intelligence,70.93,81.71,67.59,5.18,5.37,81.3,2.84,okay,0,0
18,Computer Science,3,Data Structures,88.36,75.11,79.61,3.18,8.05,34.49,3.53,stressed,0,0
18,Civil Engineering,3,Computer Networks,50.38,74.73,67.44,7.35,8.44,69.54,2.02,anxious,1,0
18,Information Technology,4,Operating Systems,84.63,46.83,44.51,5.54,9.12,41.21,3.39,okay,1,0
18,Electronics,3,Database Systems,86.5,73.77,72.72,8.54,8.68,57.25,3.46,happy,1,0
18,Information Technology,3,Mathematics,83.51,67.25,68.83,2.29,8.31,57.05,3.34,okay,1,0
19,Civil Engineering,1,Operating Systems,100.0,73.33,61.72,2.89,7.99,50.16,4.0,anxious,1,0
19,Civil Engineering,2,Artificial Intelligence,88.4,95.13,69.29,4.56,7.24,33.42,3.54,anxious,0,0
19,Information Technology,2,Data Structures,78.72,92.53,74.37,0.0,8.82,48.72,3.15,happy,0,0
19,Computer Science,4,Software Engineering,87.28,80.7,90.45,5.18,7.72,46.51,3.49,okay,0,0
20,Information Technology,1,Software Engineering,76.42,72.33,55.2,3.75,5.84,64.04,3.06,anxious,1,0
20,Mechanical Engineering,3,Data Structures,46.01,100.0,88.42,3.15,4.46,62.48,1.84,anxious,1,0
20,Civil Engineering,4,Mathematics,85.31,81.1,60.09,1.41,6.12,57.45,3.41,burnout,0,0
20,Information Technology,4,Computer Networks,69.56,57.45,49.25,3.45,5.26,38.57,2.78,anxious,1,0
21,Mechanical Engineering,1,Software Engineering,49.42,87.75,70.98,3.67,8.12,70.02,1.98,stressed,1,0
21,Electronics,3,Operating Systems,52.69,82.24,66.19,5.35,8.12,67.88,2.11,burnout,1,0
21,Information Technology,2,Database Systems,81.07,63.39,70.94,0.0,7.42,39.73,3.24,anxious,1,0
21,Information Technology,1,Computer Networks,59.92,83.06,77.65,3.49,8.31,65.36,2.4,anxious,1,0
21,Civil Engineering,4,Mathematics,72.41,60.1,50.47,3.86,7.66,67.97,2.9,anxious,1,0
22,Civil Engineering,4,Operating Systems,85.68,63.06,51.51,4.98,7.4,25.39,3.43,anxious,1,0
22,Electronics,3,Computer Networks,52.69,74.38,74.05,4.89,7.62,43.9,2.11,anxious,1,0
22,Mechanical Engineering,2,Data Structures,67.56,89.24,86.25,3.38,6.42,46.31,2.7,anxious,0,0
22,Mechanical Engineering,4,Artificial Intelligence,70.2,77.23,64.28,6.1,6.34,35.22,2.81,happy,0,0
23,Civil Engineering,1,Database Systems,66.95,47.45,25.17,2.91,7.89,77.08,2.68,anxious,1,0
23,Computer Science,1,Data Structures,45.01,100.0,100.0,5.34,7.7,67.72,1.8,anxious,1,0
23,Mechanical Engineering,2,Computer Networks,26.97,81.51,57.07,5.1,8.27,99.41,1.08,happy,1,0
23,Electronics,2,Operating Systems,37.48,87.9,95.32,7.14,8.16,66.17,1.5,anxious,1,0
23,Mechanical Engineering,3,Mathematics,41.84,92.1,86.73,0.0,8.01,71.42,1.67,anxious,1,0
24,Electronics,2,Software Engineering,40.02,59.72,43.99,6.11,9.19,51.86,1.6,happy,1,0
24,Computer Science,1,Artificial Intelligence,58.87,82.77,65.91,5.4,7.93,49.94,2.35,okay,1,0
24,Computer Science,2,Computer Networks,68.25,78.56,82.2,2.59,8.76,52.53,2.73,okay,0,0
24,Computer Science,2,Data Structures,34.97,100.0,97.08,2.88,8.36,69.19,1.4,anxious,1,0
24,Electronics,2,Database Systems,58.57,56.45,43.53,3.5,8.18,55.04,2.34,burnout,1,0
25,Electronics,4,Data Structures,83.12,89.28,93.21,6.12,5.31,72.9,3.32,anxious,0,0
25,Information Technology,1,Software Engineering,70.23,79.13,79.4,4.27,4.89,85.77,2.81,burnout,0,0
25,Information Technology,1,Artificial Intelligence,89.5,78.79,66.26,5.77,5.25,61.48,3.58,stressed,0,0
25,Civil Engineering,1,Operating Systems,72.42,99.17,86.64,4.27,4.03,84.78,2.9,burnout,0,0
25,Electronics,4,Computer Networks,74.37,95.65,94.77,4.57,5.29,66.57,2.97,stressed,0,0
25,Electronics,1,Mathematics,67.27,80.71,84.87,2.63,3.75,77.1,2.69,anxious,0,0
26,Information Technology,3,Artificial Intelligence,67.71,100.0,100.0,2.95,7.33,84.53,2.71,burnout,0,0
26,Civil Engineering,4,Computer Networks,80.68,66.22,49.56,2.46,7.59,84.49,3.23,anxious,1,0
26,Civil Engineering,3,Database Systems,97.14,65.02,68.37,3.57,7.81,79.41,3.89,stressed,1,0
26,Computer Science,3,Data Structures,84.36,85.74,78.83,4.98,8.7,86.63,3.37,anxious,0,0
26,Mechanical Engineering,4,Mathematics,68.83,72.04,58.6,2.89,8.07,82.02,2.75,stressed,1,0
27,Electronics,3,Computer Networks,84.23,74.35,59.86,2.59,6.61,90.07,3.37,stressed,1,0
27,Electronics,1,Database Systems,96.8,82.47,70.6,5.17,6.69,68.16,3.87,burnout,0,0
27,Computer Science,2,Operating Systems,99.17,81.57,55.93,1.49,5.67,70.85,3.97,anxious,0,0
27,Information Technology,4,Software Engineering,82.48,79.88,78.84,1.88,5.71,32.21,3.3,anxious,0,0
28,Information Technology,3,Software Engineering,91.54,100.0,95.84,3.28,8.07,49.31,3.66,burnout,0,0
28,Civil Engineering,3,Artificial Intelligence,91.67,87.61,89.51,6.34,7.84,57.19,3.67,anxious,0,0
28,Civil Engineering,3,Data Structures,100.0,82.2,86.05,2.37,7.32,44.56,4.0,stressed,0,0
28,Electronics,3,Database Systems,95.52,99.18,91.17,4.09,7.89,28.61,3.82,stressed,0,0
28,Information Technology,3,Mathematics,85.05,100.0,86.92,4.44,8.3,47.85,3.4,happy,0,0
29,Civil Engineering,3,Mathematics,64.2,86.13,75.65,3.19,7.51,65.07,2.57,happy,0,0
29,Electronics,2,Data Structures,59.59,94.48,80.23,4.26,7.16,73.75,2.38,stressed,1,0
29,Computer Science,2,Operating Systems,58.47,49.47,51.85,6.16,7.22,53.41,2.34,stressed,1,0
29,Computer Science,3,Software Engineering,43.81,77.33,76.09,5.97,8.07,86.03,1.75,okay,1,0
29,Mechanical Engineering,1,Artificial Intelligence,70.13,62.8,55.37,5.27,8.25,54.65,2.81,happy,1,0
29,Mechanical Engineering,4,Computer Networks,79.58,76.9,62.1,2.66,7.3,64.83,3.18,anxious,0,0
30,Mechanical Engineering,4,Operating Systems,98.54,86.85,83.86,4.9,7.15,55.26,3.94,happy,0,0
30,Computer Science,2,Artificial Intelligence,88.82,90.64,80.67,6.88,7.39,44.98,3.55,okay,0,0
30,Electronics,1,Database Systems,94.34,58.54,53.97,2.64,6.16,58.5,3.77,okay,1,0
30,Mechanical Engineering,2,Computer Networks,66.94,51.66,41.97,0.0,6.87,42.47,2.68,burnout,1,0
30,Mechanical Engineering,3,Data Structures,88.08,86.38,68.07,3.9,5.91,51.93,3.52,burnout,0,0
31,Computer Science,2,Database Systems,100.0,80.56,69.82,3.83,7.95,51.79,4.0,okay,0,0
31,Computer Science,2,Mathematics,85.79,64.06,67.54,5.25,8.09,52.91,3.43,okay,1,0
31,Computer Science,2,Data Structures,83.23,68.02,79.34,4.72,8.66,62.54,3.33,happy,1,0
31,Civil Engineering,4,Artificial Intelligence,83.37,96.34,87.85,5.9,8.97,56.59,3.33,stressed,0,0
31,Electronics,3,Software Engineering,79.26,100.0,86.3,4.41,8.05,49.48,3.17,anxious,0,0
32,Civil Engineering,2,Data Structures,94.18,86.54,78.27,4.24,8.18,57.77,3.77,okay,0,0
32,Information Technology,1,Operating Systems,89.66,54.97,53.47,5.29,9.48,48.16,3.59,happy,1,0
32,Electronics,3,Database Systems,56.43,58.03,54.48,6.09,8.46,79.8,2.26,anxious,1,0
32,Electronics,4,Software Engineering,78.15,79.42,69.75,5.77,7.91,62.97,3.13,stressed,0,0
33,Electronics,3,Mathematics,100.0,69.72,65.98,3.42,9.04,47.48,4.0,happy,1,0
33,Civil Engineering,1,Computer Networks,75.52,95.94,64.0,4.47,9.23,59.78,3.02,stressed,0,0
33,Information Technology,4,Data Structures,98.7,78.7,78.9,1.51,8.72,75.45,3.95,burnout,0,0
33,Electronics,2,Artificial Intelligence,82.17,75.91,47.37,4.51,9.69,66.74,3.29,burnout,0,0
33,Mechanical Engineering,1,Database Systems,96.27,59.12,44.82,5.04,9.68,73.58,3.85,anxious,1,0
33,Electronics,3,Software Engineering,98.69,78.66,74.42,6.6,9.26,61.35,3.95,happy,0,0
34,Mechanical Engineering,1,Database Systems,76.61,80.78,80.03,3.84,5.17,31.23,3.06,anxious,0,0
34,Electronics,3,Computer Networks,63.53,85.2,86.66,0.0,6.1,55.25,2.54,happy,0,0
34,Mechanical Engineering,1,Data Structures,88.42,64.4,64.09,1.89,7.13,20.66,3.54,burnout,1,0
34,Computer Science,2,Software Engineering,62.2,83.26,83.64,4.99,6.36,36.27,2.49,burnout,0,0
35,Information Technology,3,Mathematics,91.68,81.01,74.89,4.9,7.25,63.86,3.67,anxious,0,0
35,Mechanical Engineering,1,Computer Networks,100.0,100.0,82.28,4.59,6.79,82.19,4.0,happy,0,0
35,Civil Engineering,2,Data Structures,100.0,100.0,95.64,4.71,6.45,55.29,4.0,okay,0,0
35,Computer Science,4,Artificial Intelligence,100.0,88.55,86.91,5.27,6.78,85.03,4.0,happy,0,0
35,Computer Science,4,Software Engineering,95.58,64.57,45.33,0.71,7.69,64.61,3.82,happy,1,0
36,Mechanical Engineering,4,Software Engineering,61.55,95.15,78.75,8.5,6.38,63.75,2.46,okay,0,0
36,Information Technology,4,Operating Systems,20.91,100.0,76.1,0.71,7.76,76.35,0.84,okay,1,0
36,Civil Engineering,2,Computer Networks,68.43,88.46,85.56,5.71,6.69,59.45,2.74,happy,0,0
36,Mechanical Engineering,3,Database Systems,43.57,79.06,63.62,3.44,6.5,42.39,1.74,burnout,1,0
36,Computer Science,3,Mathematics,32.47,63.45,58.9,6.78,5.76,71.84,1.3,stressed,1,1
36,Civil Engineering,4,Data Structures,43.12,94.11,74.88,3.55,6.06,64.96,1.72,okay,1,0
37,Mechanical Engineering,4,Mathematics,80.71,65.94,73.32,3.85,5.03,62.54,3.23,stressed,1,0
37,Information Technology,4,Computer Networks,86.88,82.09,85.94,4.77,5.2,63.64,3.48,okay,0,0
37,Mechanical Engineering,1,Database Systems,86.77,60.55,65.99,3.4,5.37,63.76,3.47,stressed,1,0
37,Mechanical Engineering,4,Software Engineering,86.06,69.49,70.57,2.88,4.58,84.92,3.44,okay,1,0
37,Computer Science,2,Data Structures,73.84,68.27,83.67,1.52,4.63,75.63,2.95,burnout,1,0
38,Information Technology,4,Database Systems,52.59,77.79,79.65,8.42,7.0,34.39,2.1,okay,1,0
38,Electronics,3,Artificial Intelligence,52.8,100.0,81.96,7.28,7.4,56.68,2.11,burnout,1,0
38,Computer Science,3,Computer Networks,75.36,100.0,86.21,3.59,7.17,27.32,3.01,burnout,0,0
38,Electronics,4,Data Structures,55.09,61.64,55.82,2.46,6.9,41.55,2.2,burnout,1,0
38,Computer Science,2,Software Engineering,55.99,92.5,63.32,4.75,7.08,51.22,2.24,stressed,1,0
38,Computer Science,4,Operating Systems,94.29,86.29,70.61,3.89,7.72,33.04,3.77,happy,0,0
39,Computer Science,3,Data Structures,81.53,81.22,88.93,3.39,5.01,50.74,3.26,happy,0,0
39,Electronics,4,Artificial Intelligence,66.29,58.89,53.73,5.56,6.23,42.92,2.65,okay,1,0
39,Mechanical Engineering,2,Computer Networks,62.6,83.38,69.77,4.72,5.91,48.31,2.5,okay,0,0
39,Civil Engineering,4,Operating Systems,57.23,66.65,52.95,3.52,5.97,45.76,2.29,burnout,1,0
39,Mechanical Engineering,2,Database Systems,75.32,55.98,71.94,1.74,5.63,47.82,3.01,okay,1,0
39,Electronics,4,Mathematics,79.38,79.98,68.13,4.93,6.2,33.86,3.18,stressed,0,0
40,Civil Engineering,3,Artificial Intelligence,90.76,68.66,67.16,2.2,7.89,41.33,3.63,anxious,1,0
40,Mechanical Engineering,3,Computer Networks,95.36,87.12,78.16,5.64,8.18,53.57,3.81,okay,0,0
40,Mechanical Engineering,1,Database Systems,94.32,60.32,43.64,3.39,7.81,33.89,3.77,okay,1,0
40,Electronics,3,Operating Systems,75.37,87.95,78.45,4.97,6.91,46.32,3.01,stressed,0,0
40,Mechanical Engineering,3,Software Engineering,54.12,77.84,57.96,5.2,8.51,67.35,2.16,happy,1,0
40,Computer Science,4,Data Structures,78.46,100.0,91.49,3.33,7.75,38.61,3.14,stressed,0,0
41,Information Technology,1,Mathematics,51.94,93.69,89.31,8.58,7.15,54.54,2.08,happy,1,0
41,Mechanical Engineering,1,Database Systems,57.99,94.84,80.29,1.66,7.1,75.25,2.32,burnout,1,0
41,Information Technology,1,Operating Systems,69.49,91.43,81.99,3.65,7.25,55.8,2.78,stressed,0,0
41,Mechanical Engineering,2,Software Engineering,68.36,68.05,62.34,1.76,7.24,50.12,2.73,okay,1,0
42,Electronics,4,Software Engineering,45.69,66.0,54.97,2.23,10.95,85.22,1.83,stressed,1,0
42,Electronics,1,Mathematics,30.88,55.8,64.93,3.58,10.61,84.71,1.24,anxious,1,0
42,Information Technology,2,Database Systems,42.06,100.0,96.78,3.02,9.79,100.0,1.68,anxious,1,0
42,Civil Engineering,3,Data Structures,55.61,84.49,89.06,7.12,9.71,84.3,2.22,happy,1,0
43,Electronics,4,Artificial Intelligence,70.57,81.35,75.59,3.09,6.63,51.54,2.82,stressed,0,0
43,Information Technology,4,Database Systems,55.04,60.08,60.88,6.32,5.77,59.71,2.2,happy,1,0
43,Civil Engineering,3,Mathematics,83.4,69.38,54.63,5.76,6.64,61.78,3.34,burnout,1,0
43,Computer Science,4,Software Engineering,55.8,72.46,68.03,2.15,6.6,70.41,2.23,stressed,1,0
43,Computer Science,2,Operating Systems,75.66,80.58,87.08,7.6,6.28,65.49,3.03,happy,0,0
44,Civil Engineering,2,Database Systems,40.68,50.5,66.02,1.79,7.4,55.88,1.63,anxious,1,0
44,Civil Engineering,4,Computer Networks,59.21,92.24,91.62,2.83,7.68,50.86,2.37,burnout,1,0
44,Information Technology,4,Artificial Intelligence,60.25,100.0,94.91,5.47,8.13,58.85,2.41,happy,0,0
44,Civil Engineering,4,Mathematics,66.64,60.55,58.49,2.7,7.83,45.02,2.67,stressed,1,0
45,Information Technology,3,Data Structures,100.0,96.13,67.53,4.16,7.34,82.08,4.0,happy,0,0
45,Electronics,3,Database Systems,100.0,93.5,77.93,4.96,7.02,61.46,4.0,happy,0,0
45,Information Technology,1,Operating Systems,93.25,66.1,72.37,3.15,6.33,68.6,3.73,anxious,1,0
45,Information Technology,1,Computer Networks,81.31,100.0,84.85,1.78,7.76,72.36,3.25,happy,0,0
46,Civil Engineering,2,Operating Systems,61.84,74.41,84.24,3.2,5.81,42.63,2.47,burnout,1,0
46,Information Technology,3,Software Engineering,28.59,53.59,32.97,6.53,6.62,44.84,1.14,okay,1,0
46,Civil Engineering,1,Mathematics,48.18,82.77,89.91,8.01,5.94,65.09,1.93,stressed,1,0
46,Information Technology,2,Data Structures,65.41,88.89,87.78,2.9,5.34,31.13,2.62,burnout,0,0
46,Information Technology,1,Artificial Intelligence,41.74,73.2,72.85,5.91,6.08,47.3,1.67,happy,1,0
47,Electronics,1,Artificial Intelligence,34.2,77.97,74.97,1.27,7.0,61.33,1.37,okay,1,0
47,Civil Engineering,1,Database Systems,76.61,63.85,53.97,4.52,6.56,58.18,3.06,happy,1,0
47,Electronics,1,Operating Systems,64.36,50.94,33.31,4.7,6.12,36.28,2.57,anxious,1,0
47,Civil Engineering,1,Data Structures,47.68,91.57,63.45,4.34,6.61,65.72,1.91,burnout,1,0
48,Mechanical Engineering,1,Computer Networks,61.72,36.92,32.95,7.54,7.37,96.25,2.47,anxious,1,0
48,Mechanical Engineering,1,Data Structures,63.92,87.03,68.34,4.6,8.22,86.64,2.56,happy,0,0
48,Information Technology,1,Artificial Intelligence,58.88,76.94,60.47,2.35,7.79,78.23,2.36,okay,1,0
48,Civil Engineering,3,Mathematics,67.8,67.95,76.08,3.46,7.23,77.6,2.71,anxious,1,0
48,Civil Engineering,3,Operating Systems,52.98,93.26,91.3,3.44,7.86,82.93,2.12,anxious,1,0
49,Information Technology,4,Mathematics,34.16,88.51,66.32,8.83,6.38,84.4,1.37,stressed,1,0
49,Mechanical Engineering,4,Computer Networks,44.58,75.27,63.48,2.92,5.98,86.81,1.78,happy,1,1
49,Electronics,3,Artificial Intelligence,53.25,100.0,87.04,4.3,7.11,81.67,2.13,stressed,1,0
49,Mechanical Engineering,1,Software Engineering,54.18,67.56,48.14,3.88,7.21,73.11,2.17,happy,1,0
49,Computer Science,4,Database Systems,70.44,64.48,50.93,4.15,6.23,86.69,2.82,happy,1,0
49,Electronics,2,Data Structures,44.64,79.12,64.92,5.2,5.95,73.37,1.79,burnout,1,1
50,Mechanical Engineering,3,Mathematics,96.61,76.21,65.68,0.87,5.81,61.01,3.86,anxious,0,0
50,Computer Science,3,Software Engineering,98.5,100.0,92.99,2.5,6.42,47.35,3.94,burnout,0,0
50,Computer Science,2,Data Structures,82.0,58.43,61.78,2.66,6.39,75.3,3.28,okay,1,0
50,Information Technology,1,Database Systems,88.44,99.22,89.97,5.71,5.42,59.48,3.54,stressed,0,0
51,Electronics,1,Database Systems,60.32,87.25,73.06,2.97,8.93,86.31,2.41,okay,0,0
51,Electronics,3,Artificial Intelligence,52.88,62.55,48.94,4.41,8.67,87.48,2.12,stressed,1,0
51,Information Technology,4,Software Engineering,53.64,80.09,74.73,3.91,9.26,96.83,2.15,happy,1,0
51,Computer Science,1,Operating Systems,39.81,76.17,68.88,3.47,8.66,100.0,1.59,burnout,1,0
51,Mechanical Engineering,4,Computer Networks,45.42,88.95,82.76,4.61,8.72,100.0,1.82,stressed,1,0
51,Electronics,3,Data Structures,49.04,50.67,43.95,6.61,7.42,85.81,1.96,burnout,1,0
52,Electronics,4,Artificial Intelligence,75.28,88.2,76.99,3.27,8.03,33.92,3.01,anxious,0,0
52,Mechanical Engineering,4,Software Engineering,78.32,75.17,79.82,7.04,8.27,46.91,3.13,stressed,0,0
52,Civil Engineering,1,Operating Systems,59.45,79.64,62.64,4.65,9.08,30.8,2.38,stressed,1,0
52,Electronics,4,Mathematics,56.13,83.02,77.55,3.48,8.25,49.45,2.25,burnout,1,0
52,Computer Science,2,Database Systems,75.42,59.81,55.09,7.88,8.15,27.8,3.02,anxious,1,0
52,Computer Science,1,Data Structures,79.78,82.69,77.93,4.98,9.04,42.84,3.19,okay,0,0
53,Mechanical Engineering,4,Operating Systems,54.91,82.25,56.98,0.0,7.19,75.18,2.2,okay,1,0
